0,Woochi: The Demon Slayer,Kelly Audly,South Korea,1982,02:19:15
1,Ad Astra,Alejandra Glovsky,Brazil,2008,05:28:03
2,Bloodshot,Janey Hubert,Senegal,1975,01:34:05
3,Bad Boys for Life,Iseabal Vacuva,Mozambique,1984,01:07:23
4,Ant-Man,Merle Brodench,Azerbaijan,1988,02:41:09
5,Percy Jackson: Sea of Monsters,Arlena Larochelle,Poland,2020,00:45:02
6,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Lacie Azeria,Ireland,1971,03:05:02
7,Live Free or Die Hard,Lanae Kenwood,Angola,1994,01:44:14
8,Cold Blood,Marnia Khorma,Uzbekistan,1955,00:03:19
9,Underwater,Ayn Skell,Madagascar,1997,01:34:27
10,The Platform,Brooks Heisel,India,1987,05:35:54
11,Jumanji: The Next Level,Phylis Philoo,Panama,2012,01:39:33
12,The Twilight Saga: Eclipse,Maud Seligman,Canada,1994,01:59:00
13,Sonic the Hedgehog,Linet Gerge,Malawi,1969,04:51:38
14,Star Wars: The Rise of Skywalker,Giustina Hull,Tunisia,1982,01:14:29
15,Onward,Sashenka Warthman,Tonga,1990,03:49:40
16,Emma.,Molli Yerkovich,Angola,2011,04:02:07
17,Pocahontas II: Journey to a New World,Chandra Vastah,Honduras,2018,03:48:58
18,Lara Croft: Tomb Raider - The Cradle of Life,Amii Arley,Cuba,1957,00:25:59
19,The Invisible Man,Anthia Henebry,Gabon,1979,01:43:48
20,Blood Father,Sharlene Warthman,Tunisia,1966,02:33:15
21,A Rainy Day in New York,Mary Morgun,Ireland,1988,02:05:20
22,Joker,Belinda Eben,USA,1958,02:09:40
23,Miracle in Cell No. 7,Sara-Ann Moina,Cameroon,1952,03:24:37
24,The Hunt,Althea Valoniah,Mexico,1972,04:27:34
25,Transformers: The Last Knight,Taffy Thilda,Ecuador,1971,01:23:49
26,Parasite,Janenna Dominy,Ukraine,1958,05:56:00
27,F#*@BOIS,Arlena Merat,Spain,2014,00:51:12
28,Pretty Little Stalker,Ida Zola,Gabon,2018,00:07:40
29,Dolittle,Lila Maples,Belgium,1975,03:04:57
30,Frozen II,Aurore Anselmi,USA,1982,01:27:32
31,Harry Potter and the Deathly Hallows: Part 2,Britni Pacorro,Germany,1954,03:08:22
32,Cars,Katharina Howlyn,Comoros,1981,02:20:48
33,Teen Titans: The Judas Contract,Vinita Juliet,Egypt,2013,05:58:15
34,Digimon Adventure: Last Evolution Kizuna,Paola Charmine,Hungary,1954,05:59:13
35,Contagion,Elmira Destinee,Paraguay,2018,02:45:03
36,30 Days of Night: Dark Days,Rubie Warthman,Finland,2020,04:38:06
37,The Traitor,Winifred Tyson,Uzbekistan,2000,01:12:49
38,Trolls World Tour,Brynna Torray,Jersey,2001,01:52:38
39,Harry Potter and the Philosopher's Stone,Vere Kosey,Romania,1978,00:11:40
40,1917,Konstance Oneida,Israel,2012,01:28:08
41,Harry Potter and the Deathly Hallows: Part 1,Cassondra Codding,Madagascar,2003,02:09:11
42,The Gentlemen,Valli Zachary,Kazakhstan,1978,01:05:23
43,Coffee & Kareem,Lilith Syd,Moldova,2005,02:26:28
44,Aladdin,Karlee Bennie,Somalia,1964,05:38:36
45,Brahms: The Boy II,Ida Toni,France,2016,04:33:39
46,The Naked Gun: From the Files of Police Squad!,Emilia Taam,Spain,1996,04:24:07
47,The Lion King,Genevra Raychel,Afghanistan,2019,05:33:33
48,Interstellar,Sam McAdams,Guatemala,1969,03:37:03
49,John Wick: Chapter 3 - Parabellum,Dede Bord,Slovenia,2005,04:30:42
50,Knives Out,Tybie Goode,Romania,1990,01:14:44
51,John Wick,Emylee Orpah,Italy,2016,01:43:21
52,The Call of the Wild,Kathy Daegal,Gambia,1957,04:52:28
53,Milea: Suara dari Dilan,Dode Engdahl,Morocco,1977,02:34:37
54,Kamen Rider Reiwa: The First Generation,Dominga Kristi,Malta,1984,03:53:01
55,Just Mercy,Rhoda O'Carroll,Greenland,1951,01:47:09
56,Jurassic World: Fallen Kingdom,Dorene Stephie,Ireland,2014,01:07:09
57,The Coma,Audrie Burkle,Serbia and Montenegro,1991,02:59:14
58,Tales from the Darkside: The Movie,Janeczka Clywd,Uzbekistan,2004,01:28:34
59,Journey to China: The Mystery of Iron Mask,Elora Jaylene,Gambia,1972,00:07:06
60,Escape from Pretoria,Tracey Decato,Norway,1970,05:38:48
61,Atlantis: The Lost Empire,Aurelie Jeanne,Iceland,1985,01:03:35
62,Spider-Man: Far from Home,Dorice Buffum,Denmark,1985,05:25:19
63,Fast & Furious Presents: Hobbs & Shaw,Leia Annabella,Israel,1954,00:47:08
